OrderID,Date,Product,Category,Quantity,Price,Revenue,PaymentMethod,City,Rating,FeedbackText
41,25-07-2023,Jackets,Women Fashion,4,1569.44,6277.76,Debit Card,Hyderabad,5,Loved it! Great fit and style
42,13-06-2024,Sweatshirt,Men Fashion,3,1707.85,5123.55,Credit Card,Delhi,2,"Average product, expected better"
43,07-03-2023,Shirt,Men Fashion,2,1939.93,3879.86,Wallet,Chennai,5,Delivery took longer than expected
44,24-08-2023,Shorts,Men Fashion,4,1221.58,4886.32,UPI,Pune,3,Not happy with the packaging
45,08-10-2024,T-Shirt,Men Fashion,1,802.66,802.66,UPI,Mumbai,1,Very satisfied with the product
46,05-12-2023,Hoodie,Accessories,1,425.74,425.74,Credit Card,Bengaluru,3,Good fabric but size not perfect
47,12-05-2024,Shorts,Accessories,3,1018.78,3056.34,Credit Card,Pune,1,Loved it! Great fit and style
48,07-08-2024,Sweatshirt,Men Fashion,1,636.82,636.82,COD,Kolkata,5,Amazing quality and fast delivery!
49,21-02-2024,Shorts,Men Fashion,4,322.94,1291.76,UPI,Pune,4,The material is too thin
50,17-03-2024,Shirt,Women Fashion,3,1500.66,4501.98,COD,Hyderabad,2,Not happy with the packaging
51,25-02-2023,Hoodie,Men Fashion,3,1642.3,4926.9,COD,Pune,5,Good fabric but size not perfect
52,14-12-2023,Hoodie,Men Fashion,3,424.88,1274.64,Credit Card,Delhi,1,Loved it! Great fit and style
53,03-07-2024,Sweatshirt,Men Fashion,3,1405.83,4217.49,COD,Delhi,1,Delivery took longer than expected
54,13-10-2023,Sweatshirt,Men Fashion,4,1766.28,7065.12,UPI,Hyderabad,1,Delivery took longer than expected
55,17-07-2024,Hoodie,Men Fashion,4,1063.07,4252.28,Wallet,Kolkata,1,Not happy with the packaging
56,16-01-2023,Hoodie,Men Fashion,1,407.05,407.05,Credit Card,Hyderabad,2,Good fabric but size not perfect
57,12-05-2024,Sweatshirt,Men Fashion,3,1436.03,4308.09,COD,Mumbai,3,Excellent customer support
58,18-06-2023,Cargo Pants,Men Fashion,1,1539.33,1539.33,COD,Bengaluru,4,Not happy with the packaging
59,10-04-2024,Jackets,Women Fashion,4,766.03,3064.12,Wallet,Pune,2,Excellent customer support
60,13-05-2024,Joggers,Men Fashion,3,1101.77,3305.31,Debit Card,Delhi,1,Not happy with the packaging
61,01-03-2023,T-Shirt,Accessories,1,1950.91,1950.91,Debit Card,Mumbai,2,Delivery took longer than expected
62,21-02-2023,Sweatshirt,Accessories,3,1592.33,4776.99,Wallet,Delhi,5,The material is too thin
63,28-02-2023,Hoodie,Men Fashion,2,700.17,1400.34,UPI,Chennai,1,Excellent customer support
64,11-03-2023,Shorts,Women Fashion,2,1138.45,2276.9,UPI,Chennai,4,Amazing quality and fast delivery!
65,10-09-2023,T-Shirt,Accessories,1,1507.13,1507.13,UPI,Hyderabad,1,Good fabric but size not perfect
66,20-08-2024,Shirt,Women Fashion,2,342.21,684.42,Credit Card,Pune,4,Amazing quality and fast delivery!
67,18-11-2023,Shorts,Women Fashion,1,641.92,641.92,COD,Delhi,4,Amazing quality and fast delivery!
68,22-10-2024,Jackets,Women Fashion,4,1380.9,5523.6,Debit Card,Kolkata,3,Good fabric but size not perfect
69,16-03-2023,T-Shirt,Women Fashion,4,1256.57,5026.28,Wallet,Chennai,3,Delivery took longer than expected
70,13-04-2023,Hoodie,Accessories,4,1841.86,7367.44,Credit Card,Chennai,2,The material is too thin
71,29-09-2023,Joggers,Women Fashion,3,1326.51,3979.53,UPI,Delhi,2,Very satisfied with the product
72,14-01-2024,Jackets,Men Fashion,3,1583.44,4750.32,COD,Kolkata,4,Very satisfied with the product
73,10-07-2024,Jackets,Accessories,4,1901.85,7607.4,Wallet,Mumbai,1,Very satisfied with the product
74,21-07-2024,Jackets,Accessories,3,791.58,2374.74,UPI,Delhi,5,Loved it! Great fit and style
75,28-09-2023,Hoodie,Men Fashion,2,1795.8,3591.6,Wallet,Delhi,5,Amazing quality and fast delivery!
76,06-10-2023,Jackets,Accessories,2,1672.8,3345.6,Credit Card,Pune,1,Good fabric but size not perfect
77,18-12-2023,Shorts,Accessories,1,478.34,478.34,Debit Card,Chennai,1,Delivery took longer than expected
78,15-05-2024,Jackets,Men Fashion,4,1665.24,6660.96,UPI,Pune,3,Totally worth the price
79,09-03-2024,Jackets,Men Fashion,4,1007.07,4028.28,UPI,Bengaluru,5,"Average product, expected better"
80,14-05-2023,Jackets,Men Fashion,2,1215.88,2431.76,COD,Chennai,4,Excellent customer support
81,13-03-2024,T-Shirt,Men Fashion,2,506.55,1013.1,UPI,Pune,2,Amazing quality and fast delivery!
82,02-06-2023,T-Shirt,Women Fashion,1,839.61,839.61,Wallet,Chennai,3,Loved it! Great fit and style
83,01-06-2023,Cargo Pants,Men Fashion,1,761.62,761.62,UPI,Bengaluru,5,Amazing quality and fast delivery!
84,09-01-2024,T-Shirt,Women Fashion,3,1025.08,3075.24,Credit Card,Pune,1,Excellent customer support
85,13-09-2023,Hoodie,Women Fashion,4,898.37,3593.48,Wallet,Kolkata,5,Loved it! Great fit and style
86,21-02-2024,Joggers,Men Fashion,3,310.82,932.46,Credit Card,Kolkata,4,Totally worth the price
87,01-07-2023,Cargo Pants,Men Fashion,4,1206.95,4827.8,Credit Card,Pune,3,Very satisfied with the product
88,07-12-2023,Cargo Pants,Accessories,2,676.58,1353.16,Credit Card,Bengaluru,1,"Average product, expected better"
89,13-06-2023,Hoodie,Women Fashion,3,757,2271,UPI,Kolkata,4,Not happy with the packaging
90,26-04-2024,Shorts,Men Fashion,4,1901.95,7607.8,COD,Bengaluru,2,Good fabric but size not perfect
91,09-11-2023,Shorts,Men Fashion,2,670.9,1341.8,UPI,Pune,3,Totally worth the price
92,17-07-2023,Cargo Pants,Women Fashion,4,1494.13,5976.52,Debit Card,Kolkata,4,Totally worth the price
93,13-03-2023,Jackets,Women Fashion,1,409.32,409.32,Wallet,Hyderabad,4,Good fabric but size not perfect
94,03-07-2024,Shirt,Men Fashion,2,1935.16,3870.32,UPI,Bengaluru,1,Very satisfied with the product
95,02-07-2023,Jackets,Men Fashion,2,1482.72,2965.44,UPI,Chennai,2,Loved it! Great fit and style
96,20-03-2024,Shirt,Accessories,3,810.49,2431.47,Debit Card,Hyderabad,4,Excellent customer support
97,12-09-2024,Hoodie,Women Fashion,1,1995.16,1995.16,Wallet,Delhi,3,Totally worth the price
98,18-09-2023,T-Shirt,Accessories,3,1335.26,4005.78,COD,Mumbai,4,Excellent customer support
99,16-06-2024,Shorts,Women Fashion,2,997.76,1995.52,COD,Mumbai,5,The material is too thin
100,05-12-2023,Shirt,Accessories,3,772.7,2318.1,UPI,Pune,3,Totally worth the price
101,04-11-2023,Jackets,Accessories,1,1377.4,1377.4,COD,Bengaluru,3,Delivery took longer than expected
102,17-02-2024,Jackets,Accessories,2,545.32,1090.64,Credit Card,Delhi,4,Very satisfied with the product
103,06-03-2024,Cargo Pants,Accessories,4,1060.23,4240.92,Credit Card,Chennai,1,Good fabric but size not perfect
104,05-08-2024,Jackets,Women Fashion,2,710.49,1420.98,Wallet,Kolkata,3,Loved it! Great fit and style
105,01-01-2023,Jackets,Women Fashion,4,436.45,1745.8,Credit Card,Hyderabad,5,Very satisfied with the product
106,16-08-2024,Shirt,Women Fashion,4,702.98,2811.92,COD,Hyderabad,1,Amazing quality and fast delivery!
107,07-08-2023,Sweatshirt,Accessories,3,1664.34,4993.02,Credit Card,Pune,1,Delivery took longer than expected
108,28-03-2023,Jackets,Accessories,1,1373.92,1373.92,Wallet,Bengaluru,1,The material is too thin
109,06-04-2023,Shorts,Accessories,2,977,1954,Debit Card,Delhi,3,Good fabric but size not perfect
110,23-07-2023,Joggers,Men Fashion,3,452.49,1357.47,UPI,Delhi,1,Totally worth the price
111,01-05-2024,Hoodie,Women Fashion,1,555.22,555.22,COD,Pune,4,Amazing quality and fast delivery!
112,12-08-2024,Shorts,Accessories,3,616.08,1848.24,COD,Hyderabad,1,Loved it! Great fit and style
113,14-02-2024,Shorts,Men Fashion,1,1758.21,1758.21,UPI,Kolkata,5,Not happy with the packaging
114,20-04-2023,Cargo Pants,Men Fashion,4,1450.86,5803.44,Credit Card,Kolkata,2,Good fabric but size not perfect
115,14-06-2024,Sweatshirt,Men Fashion,3,1507.95,4523.85,Wallet,Delhi,5,Delivery took longer than expected
116,05-05-2023,Sweatshirt,Men Fashion,3,684.04,2052.12,COD,Pune,3,Excellent customer support
117,27-06-2024,Shirt,Women Fashion,4,462.5,1850,Wallet,Kolkata,1,Very satisfied with the product
118,31-05-2024,Cargo Pants,Accessories,1,1473.59,1473.59,COD,Delhi,1,The material is too thin
119,01-05-2024,Sweatshirt,Women Fashion,4,1179.18,4716.72,Credit Card,Kolkata,4,Very satisfied with the product
120,14-10-2024,Jackets,Accessories,4,532.79,2131.16,COD,Pune,1,Very satisfied with the product
121,02-09-2023,Jackets,Women Fashion,4,1548.87,6195.48,UPI,Pune,5,Amazing quality and fast delivery!
122,20-10-2023,Shorts,Women Fashion,2,1870.98,3741.96,Debit Card,Bengaluru,3,"Average product, expected better"
123,07-07-2024,Hoodie,Men Fashion,2,1481.83,2963.66,Credit Card,Delhi,2,The material is too thin
124,28-01-2024,Joggers,Accessories,3,1420.97,4262.91,Credit Card,Mumbai,1,Very satisfied with the product
125,29-02-2024,Cargo Pants,Women Fashion,2,1968.69,3937.38,Wallet,Hyderabad,2,Totally worth the price
126,01-03-2024,T-Shirt,Men Fashion,4,1199.41,4797.64,COD,Hyderabad,1,Delivery took longer than expected
127,21-08-2024,T-Shirt,Accessories,2,1992.63,3985.26,COD,Hyderabad,3,Not happy with the packaging
128,07-01-2023,Shirt,Women Fashion,2,1824.27,3648.54,COD,Kolkata,5,Amazing quality and fast delivery!
129,05-03-2024,Shorts,Women Fashion,1,1799.48,1799.48,Credit Card,Bengaluru,3,"Average product, expected better"
130,22-03-2024,Sweatshirt,Men Fashion,3,875.35,2626.05,COD,Bengaluru,2,Excellent customer support
131,19-02-2024,Joggers,Women Fashion,3,1489.61,4468.83,Credit Card,Chennai,1,"Average product, expected better"
132,30-06-2024,T-Shirt,Women Fashion,4,1824.09,7296.36,Wallet,Chennai,2,Amazing quality and fast delivery!
133,28-01-2023,Hoodie,Accessories,4,986.66,3946.64,COD,Delhi,5,Excellent customer support
134,17-04-2024,Joggers,Men Fashion,1,1390.45,1390.45,Debit Card,Hyderabad,3,Very satisfied with the product
135,02-12-2023,Shorts,Women Fashion,3,1889.58,5668.74,Debit Card,Bengaluru,2,Totally worth the price
136,24-01-2024,Jackets,Women Fashion,4,1826.54,7306.16,Debit Card,Kolkata,2,Amazing quality and fast delivery!
137,25-03-2023,Sweatshirt,Men Fashion,4,1286.17,5144.68,Wallet,Mumbai,5,Delivery took longer than expected
138,25-12-2023,Shorts,Accessories,4,471.5,1886,UPI,Kolkata,1,Excellent customer support
139,11-02-2023,T-Shirt,Men Fashion,3,1954.23,5862.69,Credit Card,Kolkata,2,Delivery took longer than expected
140,21-01-2023,Joggers,Men Fashion,2,572.37,1144.74,Credit Card,Hyderabad,5,Excellent customer support
141,28-04-2023,Shorts,Women Fashion,2,1124.54,2249.08,Debit Card,Kolkata,1,Very satisfied with the product
142,13-01-2024,Joggers,Accessories,3,1407.33,4221.99,Wallet,Pune,1,Good fabric but size not perfect
143,28-04-2023,Joggers,Women Fashion,1,598.07,598.07,UPI,Chennai,3,Not happy with the packaging
144,27-01-2023,Jackets,Accessories,4,702.32,2809.28,COD,Hyderabad,5,Totally worth the price
145,23-07-2023,Hoodie,Accessories,1,603,603,Credit Card,Mumbai,1,Not happy with the packaging
146,05-11-2023,Hoodie,Accessories,4,1403.38,5613.52,UPI,Bengaluru,3,Good fabric but size not perfect
147,29-06-2024,Cargo Pants,Accessories,3,1524.6,4573.8,Debit Card,Mumbai,4,Excellent customer support
148,02-06-2024,Shirt,Men Fashion,4,1265.12,5060.48,COD,Kolkata,5,Very satisfied with the product
149,16-05-2024,Hoodie,Women Fashion,4,1163.98,4655.92,Debit Card,Pune,4,Amazing quality and fast delivery!
150,15-04-2024,Joggers,Women Fashion,2,749.84,1499.68,Credit Card,Pune,1,"Average product, expected better"
151,18-06-2024,Jackets,Accessories,2,1301.78,2603.56,Wallet,Kolkata,5,The material is too thin
152,10-05-2024,Sweatshirt,Women Fashion,2,967.27,1934.54,Wallet,Bengaluru,3,Excellent customer support
153,27-11-2023,Shorts,Men Fashion,2,1839.37,3678.74,Debit Card,Hyderabad,1,Totally worth the price
154,07-09-2023,Sweatshirt,Accessories,3,1650.18,4950.54,Wallet,Pune,5,Not happy with the packaging
155,24-01-2024,Shirt,Men Fashion,2,1395.68,2791.36,COD,Kolkata,5,Excellent customer support
156,29-11-2023,Joggers,Women Fashion,3,1136.28,3408.84,Credit Card,Bengaluru,4,Excellent customer support
157,22-09-2023,Shirt,Women Fashion,1,690.31,690.31,Wallet,Pune,1,Loved it! Great fit and style
158,10-10-2023,T-Shirt,Accessories,4,776.31,3105.24,Credit Card,Mumbai,3,The material is too thin
159,05-09-2023,Cargo Pants,Women Fashion,3,1605.54,4816.62,Wallet,Kolkata,3,Very satisfied with the product
160,04-09-2023,Sweatshirt,Accessories,4,600.09,2400.36,COD,Hyderabad,1,Loved it! Great fit and style
161,18-01-2023,Hoodie,Women Fashion,4,1097.91,4391.64,Credit Card,Hyderabad,1,Very satisfied with the product
162,07-09-2023,Jackets,Accessories,2,1854.27,3708.54,Wallet,Bengaluru,2,"Average product, expected better"
163,29-04-2024,Shirt,Women Fashion,3,1570.12,4710.36,Wallet,Bengaluru,4,Good fabric but size not perfect
164,27-12-2023,Sweatshirt,Women Fashion,1,1877.14,1877.14,Debit Card,Bengaluru,1,The material is too thin
165,25-08-2023,Hoodie,Accessories,1,1238.7,1238.7,Credit Card,Bengaluru,1,Very satisfied with the product
166,03-05-2023,Joggers,Men Fashion,3,1937.15,5811.45,Credit Card,Pune,2,Very satisfied with the product
167,10-05-2024,Jackets,Accessories,1,427.09,427.09,Wallet,Kolkata,2,Totally worth the price
168,21-06-2024,Jackets,Men Fashion,1,953.67,953.67,Credit Card,Bengaluru,5,Good fabric but size not perfect
169,21-08-2023,Shirt,Men Fashion,3,755.41,2266.23,Debit Card,Mumbai,3,Amazing quality and fast delivery!
170,30-06-2024,Joggers,Women Fashion,3,587.14,1761.42,UPI,Mumbai,4,Loved it! Great fit and style
171,20-07-2024,Jackets,Accessories,1,969.98,969.98,Credit Card,Pune,5,Excellent customer support
172,17-05-2024,Hoodie,Men Fashion,2,1482.25,2964.5,Wallet,Bengaluru,1,Very satisfied with the product
173,25-04-2024,Sweatshirt,Women Fashion,4,418.71,1674.84,Debit Card,Delhi,2,Totally worth the price
174,22-02-2023,Jackets,Women Fashion,2,1344.51,2689.02,UPI,Kolkata,3,Delivery took longer than expected
175,08-03-2023,Cargo Pants,Women Fashion,2,908.7,1817.4,UPI,Chennai,5,The material is too thin
176,06-10-2024,T-Shirt,Men Fashion,3,1180.16,3540.48,Credit Card,Kolkata,3,"Average product, expected better"
177,30-07-2024,Jackets,Men Fashion,2,847.34,1694.68,Credit Card,Mumbai,2,Good fabric but size not perfect
178,25-07-2024,Cargo Pants,Accessories,4,1483.93,5935.72,Wallet,Kolkata,5,Very satisfied with the product
179,25-09-2024,Shorts,Accessories,3,1504.15,4512.45,COD,Hyderabad,5,The material is too thin
180,29-03-2024,Jackets,Accessories,3,798.11,2394.33,COD,Bengaluru,3,Excellent customer support
181,05-08-2024,T-Shirt,Accessories,3,1012.63,3037.89,UPI,Kolkata,2,Loved it! Great fit and style
182,01-08-2023,Shorts,Women Fashion,2,1773.02,3546.04,UPI,Delhi,1,Amazing quality and fast delivery!
183,03-09-2023,Joggers,Accessories,1,437.71,437.71,UPI,Delhi,5,Loved it! Great fit and style
184,03-01-2023,Cargo Pants,Women Fashion,3,1151.58,3454.74,Wallet,Hyderabad,1,"Average product, expected better"
185,26-10-2023,T-Shirt,Men Fashion,1,629.27,629.27,Debit Card,Pune,2,Not happy with the packaging
186,17-10-2023,Sweatshirt,Men Fashion,4,1492.34,5969.36,Credit Card,Bengaluru,5,Good fabric but size not perfect
187,02-10-2024,Shorts,Women Fashion,4,385.31,1541.24,UPI,Chennai,5,Amazing quality and fast delivery!
188,19-08-2023,Joggers,Women Fashion,3,873.59,2620.77,Credit Card,Mumbai,1,Good fabric but size not perfect
189,03-03-2023,Joggers,Women Fashion,4,1283.07,5132.28,Wallet,Pune,4,Totally worth the price
190,05-08-2024,Jackets,Women Fashion,4,1282.08,5128.32,UPI,Hyderabad,1,"Average product, expected better"
191,08-11-2023,Cargo Pants,Women Fashion,2,856.86,1713.72,Wallet,Chennai,1,Totally worth the price
192,20-05-2024,Sweatshirt,Men Fashion,2,1221.5,2443,Wallet,Mumbai,4,Very satisfied with the product
193,18-03-2024,Shirt,Accessories,1,1725.19,1725.19,Debit Card,Mumbai,2,Not happy with the packaging
194,04-04-2023,Shorts,Accessories,2,350.85,701.7,Wallet,Chennai,2,Loved it! Great fit and style
195,22-01-2023,Jackets,Accessories,4,365.02,1460.08,UPI,Kolkata,5,Not happy with the packaging
196,29-06-2023,Sweatshirt,Accessories,3,911.32,2733.96,COD,Bengaluru,3,Loved it! Great fit and style
197,05-07-2023,Cargo Pants,Accessories,4,854.31,3417.24,COD,Mumbai,3,Not happy with the packaging
198,26-04-2024,Shirt,Women Fashion,4,1607.99,6431.96,Debit Card,Bengaluru,5,Not happy with the packaging
199,18-04-2023,Joggers,Women Fashion,4,1939.93,7759.72,COD,Pune,3,Very satisfied with the product
200,22-05-2024,Jackets,Accessories,3,444.09,1332.27,COD,Kolkata,1,Excellent customer support
201,17-07-2024,T-Shirt,Women Fashion,1,629.45,629.45,UPI,Bengaluru,1,Amazing quality and fast delivery!
202,16-09-2023,Shirt,Men Fashion,2,1218.08,2436.16,COD,Kolkata,4,Not happy with the packaging
203,10-06-2024,T-Shirt,Accessories,3,534.2,1602.6,Wallet,Hyderabad,4,Loved it! Great fit and style
204,28-02-2024,T-Shirt,Men Fashion,4,1957.95,7831.8,Wallet,Bengaluru,5,Excellent customer support
205,29-09-2024,Sweatshirt,Accessories,4,1513.81,6055.24,COD,Kolkata,5,Amazing quality and fast delivery!
206,22-02-2023,Shorts,Women Fashion,3,1650.82,4952.46,Wallet,Delhi,5,Delivery took longer than expected
207,22-10-2023,Sweatshirt,Accessories,3,1035.99,3107.97,COD,Mumbai,1,Not happy with the packaging
208,30-01-2023,Shorts,Accessories,2,432.38,864.76,Credit Card,Bengaluru,3,Totally worth the price
209,18-07-2024,T-Shirt,Accessories,1,612.37,612.37,COD,Mumbai,5,Totally worth the price
210,19-08-2023,Hoodie,Women Fashion,2,1720.17,3440.34,UPI,Pune,5,Excellent customer support
211,07-06-2023,Sweatshirt,Accessories,1,1469.45,1469.45,Debit Card,Chennai,1,Totally worth the price
212,07-10-2023,Cargo Pants,Women Fashion,1,593.6,593.6,COD,Delhi,1,Very satisfied with the product
213,12-04-2024,Joggers,Women Fashion,1,1051,1051,Credit Card,Chennai,1,The material is too thin
214,04-06-2024,Joggers,Men Fashion,4,1232.69,4930.76,Debit Card,Kolkata,3,Amazing quality and fast delivery!
215,29-02-2024,Shirt,Accessories,4,609.87,2439.48,Debit Card,Kolkata,5,The material is too thin
216,03-01-2023,Jackets,Accessories,1,774.89,774.89,Debit Card,Kolkata,2,Not happy with the packaging
217,24-08-2024,Sweatshirt,Men Fashion,4,1177.38,4709.52,COD,Chennai,2,The material is too thin
218,10-05-2024,Shirt,Women Fashion,4,1241.4,4965.6,Wallet,Kolkata,5,Very satisfied with the product
219,10-07-2024,Cargo Pants,Women Fashion,2,1540.07,3080.14,Debit Card,Kolkata,5,"Average product, expected better"
220,13-07-2023,Shorts,Accessories,3,720.14,2160.42,COD,Delhi,5,Loved it! Great fit and style
221,25-02-2024,T-Shirt,Women Fashion,4,568.7,2274.8,COD,Pune,5,Loved it! Great fit and style
222,26-01-2024,Cargo Pants,Accessories,2,323.47,646.94,Credit Card,Hyderabad,3,The material is too thin
223,07-02-2023,Joggers,Accessories,2,455.06,910.12,Wallet,Bengaluru,2,Excellent customer support
224,13-04-2023,Sweatshirt,Men Fashion,3,368.24,1104.72,Wallet,Hyderabad,4,Not happy with the packaging
225,16-01-2023,Joggers,Women Fashion,2,1964.17,3928.34,Credit Card,Mumbai,2,Good fabric but size not perfect
226,25-04-2024,Jackets,Women Fashion,1,1105.1,1105.1,Wallet,Pune,2,Totally worth the price
227,12-02-2024,Hoodie,Women Fashion,2,1596.72,3193.44,Wallet,Hyderabad,1,The material is too thin
228,21-11-2023,Sweatshirt,Accessories,1,1103.9,1103.9,UPI,Chennai,5,Loved it! Great fit and style
229,12-03-2023,Shorts,Accessories,1,1088.95,1088.95,Debit Card,Delhi,5,Very satisfied with the product
230,03-04-2023,Cargo Pants,Men Fashion,1,976.46,976.46,UPI,Hyderabad,5,Amazing quality and fast delivery!
231,20-06-2023,Jackets,Men Fashion,2,1912.55,3825.1,UPI,Bengaluru,1,Good fabric but size not perfect
232,27-02-2023,Jackets,Women Fashion,4,376.02,1504.08,Debit Card,Hyderabad,3,Delivery took longer than expected
233,30-05-2023,Shorts,Accessories,3,325.02,975.06,COD,Chennai,3,Very satisfied with the product
234,04-07-2023,Joggers,Men Fashion,3,1154.33,3462.99,UPI,Chennai,4,"Average product, expected better"
235,27-01-2024,Shorts,Women Fashion,1,1215.94,1215.94,Wallet,Delhi,3,Amazing quality and fast delivery!
236,26-08-2023,Sweatshirt,Accessories,1,575.99,575.99,Debit Card,Hyderabad,3,Delivery took longer than expected
237,19-09-2023,T-Shirt,Women Fashion,4,1903.62,7614.48,Debit Card,Pune,5,Amazing quality and fast delivery!
238,13-07-2024,Joggers,Men Fashion,2,344.07,688.14,COD,Bengaluru,2,Amazing quality and fast delivery!
239,24-08-2024,Jackets,Accessories,4,1380.89,5523.56,COD,Pune,3,Not happy with the packaging
240,14-09-2023,Sweatshirt,Women Fashion,4,1277.31,5109.24,Credit Card,Hyderabad,3,Delivery took longer than expected
241,09-05-2024,Hoodie,Men Fashion,2,1273.72,2547.44,COD,Chennai,1,The material is too thin
242,03-01-2024,Jackets,Accessories,1,1078.03,1078.03,Debit Card,Mumbai,4,Delivery took longer than expected
243,10-02-2024,Jackets,Men Fashion,3,1694.09,5082.27,Wallet,Kolkata,1,Good fabric but size not perfect
244,20-02-2023,Sweatshirt,Women Fashion,4,955.37,3821.48,Credit Card,Chennai,5,Amazing quality and fast delivery!
245,27-12-2023,Shorts,Accessories,1,1406.52,1406.52,Credit Card,Chennai,2,Not happy with the packaging
246,14-09-2023,Joggers,Accessories,3,631.84,1895.52,UPI,Pune,4,Totally worth the price
247,23-10-2024,T-Shirt,Women Fashion,1,663.8,663.8,COD,Mumbai,1,Good fabric but size not perfect
248,16-08-2024,Shirt,Accessories,2,329.98,659.96,Credit Card,Mumbai,3,Loved it! Great fit and style
249,30-10-2023,Shirt,Accessories,3,1350.03,4050.09,COD,Delhi,3,The material is too thin
250,25-07-2023,Joggers,Accessories,3,420.02,1260.06,Debit Card,Chennai,4,Amazing quality and fast delivery!
